rank,title,img,year,ep,rating
#1,Hospital Playlist,https://i.mydramalist.com/RXXL6_4s.jpg?v=1,2020,12,9.1
#2,It's Okay to Not Be Okay,https://i.mydramalist.com/xw3xX_4s.jpg?v=1,2020,16,9.1
#3,Flower of Evil,https://i.mydramalist.com/WAEAp_4s.jpg?v=1,2020,16,9.1
#4,My Mister,https://i.mydramalist.com/6o4K0s.jpg?v=1,2018,16,9.1
#5,Signal,https://i.mydramalist.com/kvYVOs.jpg?v=1,2016,16,9.0
#6,Mother,https://i.mydramalist.com/dRPqds.jpg?v=1,2018,16,9.0
#7,SKY Castle,https://i.mydramalist.com/4053ws.jpg?v=1,2018,20,9.0
#8,Reply 1988,https://i.mydramalist.com/85xpms.jpg?v=1,2015,20,9.0
#9,Healer,https://i.mydramalist.com/lBOo4s.jpg?v=1,2014,20,8.9
#10,Crash Landing on You,https://i.mydramalist.com/XrN2ds.jpg?v=1,2019,16,8.9
#11,Kingdom: Season 2,https://i.mydramalist.com/2qelVs.jpg?v=1,2020,6,8.9
#12,Goblin,https://i.mydramalist.com/JkD8Xs.jpg?v=1,2016,16,8.9
#13,Stranger,https://i.mydramalist.com/1o3zzs.jpg?v=1,2017,16,8.9
#14,Mr. Sunshine,https://i.mydramalist.com/Vbo3zs.jpg?v=1,2018,24,8.9
#15,Life on Mars,https://i.mydramalist.com/DX4Yzs.jpg?v=1,2018,16,8.8
#16,Weightlifting Fairy Kim Bok Joo,https://i.mydramalist.com/D2X7Ds.jpg?v=1,2016,16,8.8
#17,The Guest,https://i.mydramalist.com/Wb2pWs.jpg?v=1,2018,16,8.8
#18,Defendant,https://i.mydramalist.com/1gZp6s.jpg?v=1,2017,18,8.8
#19,Chicago Typewriter,https://i.mydramalist.com/Jkd1js.jpg?v=1,2017,16,8.8
#20,"Kill Me, Heal Me",https://i.mydramalist.com/p2j0ns.jpg?v=1,2015,20,8.8
#21,Six Flying Dragons,https://i.mydramalist.com/bBvWjs.jpg?v=1,2015,50,8.8
#22,Kingdom,https://i.mydramalist.com/d4d1Ws.jpg?v=1,2019,6,8.8
#23,While You Were Sleeping,https://i.mydramalist.com/X4Qxqs.jpg?v=1,2017,32,8.7
#24,18 Again,https://i.mydramalist.com/xnNnq_4s.jpg?v=1,2020,16,8.7
#25,Prison Playbook,https://i.mydramalist.com/xXK7ys.jpg?v=1,2017,16,8.7
#26,Dr. Romantic 2,https://i.mydramalist.com/Rr7DEs.jpg?v=1,2020,16,8.7
#27,Live,https://i.mydramalist.com/5o0ges.jpg?v=1,2018,18,8.7
#28,Misaeng: Incomplete Life,https://i.mydramalist.com/jqA1ws.jpg?v=1,2014,20,8.7
#29,Dear My Friends,https://i.mydramalist.com/2zWk2_4s.jpg?v=1,2016,16,8.7
#30,Descendants of the Sun,https://i.mydramalist.com/vN26Zs.jpg?v=1,2016,16,8.7
#31,Hotel del Luna,https://i.mydramalist.com/RApq6s.jpg?v=1,2019,16,8.7
#32,Tunnel,https://i.mydramalist.com/JkryYs.jpg?v=1,2017,16,8.7
#33,"Arthdal Chronicles Part 2: The Sky Turning Inside Out, Rising Land",https://i.mydramalist.com/6o4N2s.jpg?v=1,2019,6,8.7
#34,The Fiery Priest,https://i.mydramalist.com/evbZqs.jpg?v=1,2019,40,8.7
#35,"It's Okay, That's Love",https://i.mydramalist.com/XB5ex_4s.jpg?v=1,2014,16,8.7
#36,Strong Woman Do Bong Soon,https://i.mydramalist.com/XZqYJs.jpg?v=1,2017,16,8.7
#37,Dr. Romantic,https://i.mydramalist.com/KxgYRs.jpg?v=1,2016,20,8.7
#38,Age of Youth,https://i.mydramalist.com/bZk8Vs.jpg?v=1,2016,12,8.6
#39,The Bridal Mask,https://i.mydramalist.com/r5kLy_4s.jpg?v=1,2012,28,8.6
#40,You Who Came from the Stars,https://i.mydramalist.com/d0dQAs.jpg?v=1,2013,21,8.6
#41,Eulachacha Waikiki,https://i.mydramalist.com/RPjLrs.jpg?v=1,2018,20,8.6
#42,Moon Lovers: Scarlet Heart Ryeo,https://i.mydramalist.com/jWJxbs.jpg?v=1,2016,20,8.6
#43,Strangers from Hell,https://i.mydramalist.com/4p2vds.jpg?v=1,2019,10,8.6
#44,My Father is Strange,https://i.mydramalist.com/j0p0ds.jpg?v=1,2017,52,8.6
#45,Mystic Pop-Up Bar,https://i.mydramalist.com/eEkpps.jpg?v=1,2020,12,8.6
#46,Stranger 2,https://i.mydramalist.com/BgddV_4s.jpg?v=1,2020,16,8.6
#47,Children of Nobody,https://i.mydramalist.com/2OW0ds.jpg?v=1,2018,32,8.6
#48,Just Between Lovers,https://i.mydramalist.com/rkKPms.jpg?v=1,2017,16,8.6
#49,Go Back Couple,https://i.mydramalist.com/w0RAYs.jpg?v=1,2017,12,8.6
#50,The Master's Sun,https://i.mydramalist.com/rNRyms.jpg?v=1,2013,17,8.6
#51,I Hear Your Voice,https://i.mydramalist.com/MK62Xs.jpg?v=1,2013,18,8.6
#52,Chief Kim,https://i.mydramalist.com/6oKxjs.jpg?v=1,2017,20,8.6
#53,Arthdal Chronicles Part 3: The Prelude To All Legends,https://i.mydramalist.com/23m6ws.jpg?v=1,2019,6,8.6
#54,Avengers Social Club,https://i.mydramalist.com/EDwzbs.jpg?v=1,2017,12,8.6
#55,The World of the Married,https://i.mydramalist.com/W3gKXs.jpg?v=1,2020,16,8.6
#56,Hot Stove League,https://i.mydramalist.com/ZrX3Os.jpg?v=1,2019,16,8.6
#57,Cruel City,https://i.mydramalist.com/aEqmls.jpg?v=1,2013,20,8.6
#58,Bad Guys,https://i.mydramalist.com/nOegEs.jpg?v=1,2014,11,8.6
#59,Empress Ki,https://i.mydramalist.com/JBpEls.jpg?v=1,2013,51,8.6
#60,Because This is My First Life,https://i.mydramalist.com/PdBoys.jpg?v=1,2017,16,8.6
#61,Save Me,https://i.mydramalist.com/jW1jds.jpg?v=1,2017,16,8.6
#62,365: Repeat the Year,https://i.mydramalist.com/kY6Wgs.jpg?v=1,2020,24,8.6
#63,Extracurricular,https://i.mydramalist.com/27Ry2s.jpg?v=1,2020,10,8.6
#64,Circle,https://i.mydramalist.com/rkVXDs.jpg?v=1,2017,12,8.6
#65,Jewel in the Palace,https://i.mydramalist.com/wJVdns.jpg?v=1,2003,54,8.6
#66,Rebel: Thief Who Stole the People,https://i.mydramalist.com/Red2Vs.jpg?v=1,2017,30,8.6
#67,When the Camellia Blooms,https://i.mydramalist.com/jAYOrs.jpg?v=1,2019,40,8.5
#68,Designated Survivor: 60 Days,https://i.mydramalist.com/Wmq1Rs.jpg?v=1,2019,16,8.5
#69,What's Wrong with Secretary Kim,https://i.mydramalist.com/jr3Dzs.jpg?v=1,2018,16,8.5
#70,W,https://i.mydramalist.com/jWJLws.jpg?v=1,2016,16,8.5
#71,Fight For My Way,https://i.mydramalist.com/nv0kQs.jpg?v=1,2017,16,8.5
#72,Nobody Knows,https://i.mydramalist.com/B3yVzs.jpg?v=1,2020,16,8.5
#73,Thirty But Seventeen,https://i.mydramalist.com/0vVX7s.jpg?v=1,2018,32,8.5
#74,Search: WWW,https://i.mydramalist.com/6peeWs.jpg?v=1,2019,16,8.5
#75,Partners for Justice 2,https://i.mydramalist.com/enw3es.jpg?v=1,2019,32,8.5
#76,The Princess's Man,https://i.mydramalist.com/MX2zns.jpg?v=1,2011,24,8.5
#77,I'm Not a Robot,https://i.mydramalist.com/X4LAds.jpg?v=1,2017,32,8.5
#78,Doctor John,https://i.mydramalist.com/jXmvbs.jpg?v=1,2019,32,8.5
#79,Queen In Hyun's Man,https://i.mydramalist.com/9oVZEs.jpg?v=1,2012,16,8.5
#80,Age of Youth 2,https://i.mydramalist.com/gWz4Ws.jpg?v=1,2017,14,8.5
#81,Two Weeks,https://i.mydramalist.com/MBRLVs.jpg?v=1,2013,16,8.5
#82,Missing: The Other Side,https://i.mydramalist.com/wzXQN_4s.jpg?v=1,2020,12,8.5
#83,Queen Seon Duk,https://i.mydramalist.com/Z8kn7s.jpg?v=1,2009,62,8.5
#84,Beautiful World,https://i.mydramalist.com/ErXmQs.jpg?v=1,2019,16,8.5
#85,Voice,https://i.mydramalist.com/BjEp1s.jpg?v=1,2017,16,8.5
#86,Once Again,https://i.mydramalist.com/kWPprs.jpg?v=1,2020,100,8.5
#87,Arthdal Chronicles Part 1: The Children of Prophecy,https://i.mydramalist.com/x2Pyws.jpg?v=1,2019,6,8.5
#88,Vagabond,https://i.mydramalist.com/qboZPs.jpg?v=1,2019,16,8.5
#89,"Hi Bye, Mama!",https://i.mydramalist.com/43y1Js.jpg?v=1,2020,16,8.4
#90,Pinocchio,https://i.mydramalist.com/1zDn5_4s.jpg?v=1,2014,20,8.4
